"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","cold_base_budget_enabled","cold_base_budget_limit","cold_base_budget_used_count","cold_base_deferred_count","candidate_backoff_enabled","candidate_backoff_min_failures","candidate_backoff_active_count","candidate_backoff_blocked_count","candidate_backoff_skipped_count","candidate_backoff_failure_count","candidate_backoff_soft_failure_count","candidate_backoff_probe_count","candidate_backoff_success_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 20:32:00","454.871","454.871","17","23.557","0.547","15.873","15","17","0.429553","0.429553","0.429553","0.429553","0","0","0","2317.24","21","0","25","1108","21","1","17","0","57.784","423","45","0","0.001","0.015","2.133","0.001","10.755","0","0","0","12.183","11.191","2.156","0.504","0.009","48","48","0","0","12","3","36","1","4","3","0","1","2","6","2","2","0","0","0","0","33108","0","0","9","62.5","15","15","390","7115","0","143","118","100","True","True","True","0.001","0.03","0","0.013","1920","1080","0","0","1920","1080","17","9","9","5","True","1250","599","16","29","313949","10381","400","189577","2.8179","0.0455","2.7724","normal","True","False","False"
"2026/6/25 20:32:02","419.26","419.26","19","25.094","0.43","31.25","46","19","0.470588","0.470588","0.470588","0.470588","0","0","0","2126.77","23","0","26","1106","21","1","17","0","33.433","233","13","0","0.002","0.02","2.517","0.001","0","0","0","0","9.586","1.632","1.083","0.297","0.01","68","68","0","0","17","0","0","1","4","0","0","1","2","6","2","2","0","0","0","0","36972","0","0","3","66.666","0","0","390","7990","0","143","118","100","True","True","True","0.002","0.042","0","0.013","1920","1080","0","0","1920","1080","19","12","12","4","True","1884","677","30","54","326913","10700","400","189577","1.8051","0.0438","1.7613","normal","True","False","False"
"2026/6/25 20:32:04","447.527","447.527","19","23.139","0.471","16.129","0","19","0.412882","0.412882","0.412882","0.412882","0","0","0","2409.68","23","0","27","1097","21","1","17","0","63.489","429","16","0","0.004","0.018","2.723","0.003","9.93","0","0","0","13.115","10.009","4.074","1.018","0.012","68","68","0","0","14","3","36","1","4","3","0","1","2","4","2","2","0","0","0","0","36972","0","0","9","62.5","0","0","390","8890","0","229","184","151","True","True","True","0.001","0.042","0","0.013","1920","1080","0","0","1920","1080","19","12","12","4","True","1619","622","27","49","338146","10976","403","189577","1.9838","0.0537","1.9301","normal","True","False","False"
"2026/6/25 20:32:06","449.958","449.958","19","24.927","0.413","32.258","63","19","0.460405","0.460405","0.460405","0.460405","0","0","0","2165.16","23","0","28","1082","21","1","17","0","31.441","211","7","0","0.002","0.02","1.329","0.001","0","0","0","0","9.979","0","0","1.143","0.011","68","68","0","0","17","0","0","1","4","0","0","1","2","4","2","2","0","0","0","0","36972","0","0","0","62.5","16","0","390","9794","0","229","184","151","True","True","True","0.001","0.042","0","0.013","1920","1080","0","0","1920","1080","19","13","13","3","True","1624","623","27","48","351016","11327","403","189577","1.8705","0.0541","1.8164","normal","True","False","False"
"2026/6/25 20:32:08","457.986","457.986","19","24.311","0.46","32.258","47","19","0.481232","0.481232","0.481232","0.481232","0","0","0","2082.49","23","0","29","1085","21","1","17","0","27.95","191","10","0","0.002","0.018","2.242","0.002","0","0","0","0","9.077","0","0","0.337","0.01","68","68","0","0","17","0","0","1","4","0","0","1","2","4","2","2","0","0","0","0","36972","0","0","0","62.5","15","15","390","10719","0","229","184","151","True","True","True","0.002","0.042","0","0.013","1920","1080","0","0","1920","1080","19","13","13","3","True","1883","676","30","55","364252","11716","402","189577","2.0288","0.052","1.9768","normal","True","False","False"
"2026/6/25 20:32:10","467.004","467.004","19","24.311","0.46","3.759","94","19","0.481232","0.481232","0.481232","0.481232","0","0","0","2082.49","23","0","29","1085","21","1","17","0","248.886","280","0","0","0.003","0.024","2.227","0","0","0","0.001","0","9.97","0","0","0.477","0.009","68","68","0","0","17","0","0","1","4","0","0","1","2","4","2","2","0","0","0","0","36972","0","0","0","62.5","16","16","390","11668","0","313","253","206","True","True","True","0.001","0.042","0","0.013","1920","1080","0","0","1920","1080","19","11","11","5","True","1250","600","16","29","376363","12068","404","189577","2.1354","0.055","2.0804","normal","True","False","False"
"2026/6/25 20:32:12","460.703","460.703","19","22.857","0.478","10.638","15","19","0.447628","0.447628","0.447628","0.447628","0","0","0","2224.27","23","0","30","1078","21","1","17","0","89.371","587","0","0","0.005","0.023","4.65","0.005","15.126","0","0","0","15.335","19.837","6.232","0.473","0.014","68","68","0","0","13","4","48","1","4","4","0","1","2","4","2","2","0","0","0","0","36972","0","0","12","62.5","15","15","390","12588","0","313","253","206","True","True","True","0.002","0.042","0","0.013","1920","1080","0","0","1920","1080","19","11","11","5","True","1251","600","16","29","389671","12475","403","189577","2.0368","0.0539","1.9829","normal","True","False","False"
"2026/6/25 20:32:14","466.894","466.894","17","25.263","0.492","10.638","16","17","0.524659","0.524659","0.524659","0.524659","0","0","0","1892.34","21","0","32","1087","21","1","17","0","91.162","613","13","0","0.002","0.012","3.695","0.002","12.761","0.001","0.001","0","15.603","15.426","10.353","0.41","0.009","55","55","0","0","13","4","48","1","4","4","0","1","2","4","0","0","0","0","0","0","36972","0","0","12","66.666","16","16","390","13530","0","313","253","206","True","True","True","0.003","0.042","0","0.013","1920","1080","0","0","1920","1080","17","11","11","5","True","1250","599","16","29","403126","12900","403","189577","2.0321","0.0456","1.9865","normal","True","False","False"
"2026/6/25 20:32:16","465.226","465.226","17","18.282","0.529","16.129","94","17","0.48852","0.48852","0.48852","0.48852","0","0","0","2043.87","21","0","33","1082","21","1","17","0","58.947","383","0","0","0.001","0.025","2.44","1.914","8.235","0","0","0","11.336","7.716","2.045","0.438","0.011","68","68","0","0","15","2","24","1","4","2","0","1","2","4","0","0","0","0","0","0","33108","2","0","6","62.5","0","0","390","14469","0","399","324","264","True","True","True","0.002","0.042","0","0.013","1920","1080","0","0","1920","1080","17","10","10","4","True","1836","670","29","53","414979","13276","404","189577","2.0809","0.0823","1.9986","normal","True","False","False"
"2026/6/25 20:32:18","460.88","460.88","17","18.282","0.489","10.752","78","17","0.516262","0.516262","0.516262","0.516262","0","0","0","1933.53","21","0","34","1085","21","1","17","0","99.594","669","9","0","0.002","0.019","2.448","1.265","8.945","0","0.002","0","6.036","11.595","1.737","47.317","0.009","53","53","0","0","15","2","24","1","4","2","0","1","2","2","0","0","0","0","0","0","33108","2","0","12","66.666","0","15","390","15395","0","405","324","264","True","True","True","0.001","0.042","0","0.013","1920","1080","0","0","1920","1080","17","10","10","4","True","1598","621","27","49","427840","13704","405","189577","1.9185","0.0439","1.8746","normal","True","False","False"
