"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:22:20","61.1335","61.1335","20","5.046","0.315","4","172","20","0.299133","0.299133","0.299133","0.299133","0","0","0","3332.18","30","3343","16","255.657","1795","0","0","0.002","0.019","18.104","0","32.213","0.001","0.002","0","28.434","60.13","40.566","0.408","0.013","81","81","0","0","12","14","180","36972","0","0","57","66.666","0","0","188","3012","0","67","55","49","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","20","5","5","12","True","1384","513","15","27","355566","6976","404","164600","5.4532","0.0735","5.3797","normal","True","False","False"
"2026/6/25 19:22:22","58.7192","58.7192","19","5.046","0.315","4.587","16","19","0.299133","0.299133","0.299133","0.299133","0","0","0","3332.18","30","3343","16","225.717","1565","4","0","0.002","0.019","9.404","0","21.095","0","0","0","22.44","55.128","25.076","31.476","0.01","78","78","0","0","12","14","184","36972","0","0","54","66.666","16","15","188","3132","0","67","55","49","True","True","True","0.004","0.068","0","0","1920","1080","0","0","1920","1080","19","5","5","11","True","1384","513","15","27","369565","7367","403","164600","10.4953","0.0792","10.4161","normal","True","False","False"
"2026/6/25 19:22:24","61.1545","61.1545","17","5.046","0.299","4.901","125","17","0.297619","0.297619","0.297619","0.297619","0","0","0","3362.91","26","6703","17","204.779","1443","17","0","0.002","0.018","11.008","0","24.736","0","0.001","0","24.22","58.996","30.602","0.29","0.009","78","78","0","0","12","10","120","36972","0","0","54","62.5","16","16","188","3253","0","67","55","49","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","17","5","5","11","True","1384","513","15","27","383780","7571","403","164600","5.7098","0.0763","5.6335","normal","True","False","False"
"2026/6/25 19:22:26","58.7535","58.7535","17","5.046","0.299","4.926","32","17","0.297619","0.297619","0.297619","0.297619","0","0","0","3362.91","26","6703","17","200.039","1395","0","0","0.002","0.018","16.429","0","28.613","0","0.003","0","28.568","56.071","20.113","0.682","0.01","78","78","0","0","12","10","120","36972","0","0","45","62.5","0","0","188","3374","0","77","63","57","True","True","True","0.001","0.068","0","0","1920","1080","0","0","1920","1080","17","6","6","10","True","1761","491","25","45","396640","7776","404","164600","5.3943","0.0697","5.3246","normal","True","False","False"
"2026/6/25 19:22:28","59.8744","59.8744","17","4.7","0.298","4.926","62","17","0.2936","0.2936","0.2936","0.2936","0","0","0","3402.83","26","10109","18","201.337","1410","4","0","0.001","0.015","8.82","0","28.347","0","0.001","0","19.712","62.767","26.811","0.518","0.01","78","78","0","0","12","10","120","33108","2","0","54","66.666","0","0","188","3494","0","77","63","57","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1551","507","21","39","411048","8182","403","164600","5.5053","0.087","5.4183","normal","True","False","False"
"2026/6/25 19:22:30","61.1572","61.1572","17","4.7","0.292","8","47","17","0.32","0.32","0.32","0.32","0","0","0","3108.53","26","13234","19","122.186","960","121","0","0.002","0.014","7.767","0","18.226","0","0.002","0","18.106","27.489","5.391","0.282","0.009","66","66","0","0","12","10","136","33108","0","0","21","66.666","0","0","188","3615","0","77","63","57","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1383","519","19","34","425121","8357","403","164600","10.4621","0.0765","10.3856","normal","True","False","False"
"2026/6/25 19:22:32","59.9072","59.9072","17","4.7","0.292","8","63","17","0.32","0.32","0.32","0.32","0","0","0","3108.53","26","13234","19","123.073","860","4","0","0.002","0.025","8.89","0","17.18","0","0.003","0.001","12.84","33.633","8.391","0.47","0.011","66","66","0","0","12","10","136","33108","0","0","30","62.5","0","0","188","3735","0","88","71","64","True","True","True","0.001","0.068","0","0","1920","1080","0","0","1920","1080","17","6","6","8","True","1260","524","18","32","437692","8656","404","164600","5.4222","0.072","5.3502","normal","True","False","False"
"2026/6/25 19:22:34","59.896","59.896","19","4.7","0.322","6.41","109","19","0.300481","0.300481","0.300481","0.300481","0","0","0","3328.37","30","16562","20","151.211","1105","39","0","0.002","0.018","11.725","0","25.359","0","0.001","0","19.792","32.041","8.368","0.662","0.009","78","78","0","0","12","14","184","36972","0","0","30","66.666","0","0","188","3856","0","88","71","64","True","True","True","0.002","0.068","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","1157","520","19","34","451669","9093","404","164600","5.5006","0.0716","5.429","normal","True","False","False"
"2026/6/25 19:22:36","59.8278","59.8278","19","4.7","0.322","4.587","94","19","0.300481","0.300481","0.300481","0.300481","0","0","0","3328.37","30","16562","20","218.409","1540","4","0","0.002","0.018","14.557","0","16.929","0","0.001","0","19.301","31.341","17.457","33.065","0.01","78","78","0","0","12","14","184","36972","0","0","39","62.5","0","16","188","3977","0","88","71","64","True","True","True","0.001","0.068","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","1064","512","20","37","465664","9129","404","164600","5.3806","0.0851","5.2955","normal","True","False","False"
"2026/6/25 19:22:38","60.8803","60.8803","19","5.26","0.3","4.566","140","19","0.329924","0.329924","0.329924","0.329924","0","0","0","3025.9","30","19593","21","210.47","1472","8","0","0.002","0.013","15.199","0","34.761","0","0.003","0","35.868","44.62","24.41","0.566","0.012","78","78","0","0","12","14","184","36972","0","0","33","66.666","0","0","188","4099","0","88","71","64","True","True","True","0.003","0.068","0","0","1920","1080","0","0","1920","1080","19","6","6","10","True","1007","494","24","44","479777","9559","404","164600","9.5189","0.0793","9.4396","normal","True","False","False"
