"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","candidate_backoff_enabled","candidate_backoff_min_failures","candidate_backoff_active_count","candidate_backoff_blocked_count","candidate_backoff_skipped_count","candidate_backoff_failure_count","candidate_backoff_soft_failure_count","candidate_backoff_probe_count","candidate_backoff_success_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 20:20:47","59.994","59.994","18","22.719","0.592","3.546","31","18","0.598086","0.598086","0.598086","0.598086","0","0","0","1666.74","22","0","26","1094","21","1","17","0","275.709","1918","0","0","0.002","0.007","15.273","0.003","53.507","0","0.004","0","40.52","61.182","28.277","13.973","0.015","65","65","0","0","3","14","168","1","1","5","3","1","0","0","0","0","36972","0","0","48","62.5","0","16","172","2794","0","60","50","40","True","True","True","0.001","0.024","0","0","1920","1080","0","0","1920","1080","18","11","11","5","True","1251","600","16","29","319490","10835","397","163054","5.3424","0.0799","5.2625","normal","True","False","False"
"2026/6/25 20:20:49","59.9346","59.9346","18","22.719","0.552","32.258","15","18","0.587199","0.587199","0.587199","0.587199","0","0","0","1697.16","22","0","28","1084","21","1","17","0","32.602","224","5","0","0.002","0.014","2.149","1.118","0","0","0","0","6.376","0","0","0.642","0.009","51","51","0","0","17","0","0","1","1","4","1","1","0","0","0","0","33108","2","0","0","66.666","0","0","172","2914","0","60","50","40","True","True","True","0.002","0.174","0","0","1920","1080","0","0","1920","1080","18","10","10","4","True","1791","687","34","62","333575","11251","396","163054","4.0155","0.0852","3.9303","normal","True","False","False"
"2026/6/25 20:20:51","60.8662","60.8662","18","16.769","0.552","32.258","15","18","0.587199","0.587199","0.587199","0.587199","0","0","0","1697.16","22","0","28","1084","21","1","17","0","24.461","151","0","0","0.002","0.019","1.058","0","0","0","0","0","7.611","0","0","0.465","0.01","45","45","0","0","15","0","0","1","1","6","3","3","0","0","0","0","33108","0","0","0","66.666","0","0","172","3035","0","71","59","47","True","True","True","0.002","0.174","0","0","1920","1080","0","0","1920","1080","18","10","10","4","True","1804","687","37","68","345506","11667","399","163054","5.0452","0.0909","4.9543","normal","True","False","False"
"2026/6/25 20:20:53","58.7452","58.7452","19","23.13","0.471","4.255","62","19","0.587199","0.587199","0.587199","0.587199","0","0","0","1696.72","24","0","30","1095","21","1","17","0","232.498","1670","54","0","0.001","0.006","15.321","0.006","34.792","0","0.001","0","40.972","62.695","20.005","14.21","0.012","62","62","0","0","2","14","168","1","1","5","3","3","0","0","0","0","35040","0","0","45","62.5","0","0","172","3155","0","71","59","47","True","True","True","0.002","0.174","0","0","1920","1080","0","0","1920","1080","19","11","11","4","True","1716","624","28","50","359357","12141","398","163054","5.1298","0.0802","5.0496","normal","True","False","False"
"2026/6/25 20:20:55","59.6113","59.6113","20","23.13","0.587","32.258","47","20","0.571429","0.571429","0.571429","0.571429","0","0","0","1755.48","24","0","31","1073","21","1","17","0","37.107","256","15","0","0.002","0.017","2.829","0.001","1.557","0","0","0","7.233","1.969","0.784","0.975","0.01","68","68","0","0","16","1","12","1","1","5","3","3","0","0","0","0","36972","0","0","3","62.5","16","0","172","3276","0","71","59","47","True","True","True","0.003","0.174","0","0","1920","1080","0","0","1920","1080","20","12","12","4","True","1598","621","27","49","373134","12618","398","163054","5.4915","0.0861","5.4054","normal","True","False","False"
"2026/6/25 20:20:57","59.8506","59.8506","20","21.337","0.566","21.276","344","20","0.542299","0.542299","0.542299","0.542299","0","0","0","1838.02","24","0","32","1096","21","1","17","0","31.903","234","17","0","0.002","0.017","1.272","0","0","0","0","0","7.891","0","0","0.425","0.009","51","51","0","0","17","0","0","1","1","5","3","3","0","0","0","0","36972","0","0","0","62.5","0","15","172","3397","0","80","67","53","True","True","True","0.002","0.174","0","0","1920","1080","0","0","1920","1080","20","12","12","4","True","1752","637","28","52","385818","13060","399","165055","4.9757","0.0816","4.8941","normal","True","False","False"
"2026/6/25 20:20:59","59.9233","59.9233","19","20.64","0.542","31.25","47","19","0.496032","0.496032","0.496032","0.496032","0","0","0","2004.53","23","0","33","1089","21","1","17","0","35.5","267","28","0","0.003","0.031","1.368","0","0","0","0","0.001","10.734","0","0","1.704","0.011","68","68","0","0","17","0","0","1","1","5","3","2","0","0","0","0","36972","0","0","0","62.5","16","16","172","3518","0","80","67","53","True","True","True","0.003","0.174","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","1250","600","16","29","399521","13525","399","165055","10.5208","0.098","10.4228","normal","True","False","False"
"2026/6/25 20:21:01","59.7248","59.7248","19","20.64","0.496","32.258","16","19","0.598086","0.598086","0.598086","0.598086","0","0","0","1659.76","23","0","34","1081","21","1","17","0","30.747","205","0","0","0.001","0.021","3.63","0","0","0","0","0","8.853","0","0","0.514","0.012","68","68","0","0","17","0","0","1","1","5","3","2","0","0","0","0","36972","0","0","0","62.5","0","0","172","3639","0","80","67","53","True","True","True","0.002","0.174","0","0","1920","1080","0","0","1920","1080","19","12","12","4","True","1881","695","36","65","413993","14079","398","165055","5.3241","0.0799","5.2442","normal","True","False","False"
"2026/6/25 20:21:03","58.6981","58.6981","17","19.795","0.604","3.367","31","17","0.627746","0.627746","0.627746","0.627746","0","0","0","1594.31","23","0","35","1093","21","1","17","0","297.03","2041","0","0","0.001","0.008","18.316","0.005","39.491","0","0.002","0","51.302","62.774","26.673","32.676","0.011","68","68","0","0","3","14","168","1","1","5","2","2","0","0","0","0","36972","0","0","45","66.666","0","0","172","3759","0","91","76","60","True","True","True","0.002","0.174","0","0","1920","1080","0","0","1920","1080","17","12","12","4","True","1803","687","38","68","426070","14474","400","165055","5.232","0.0913","5.1407","normal","True","False","False"
"2026/6/25 20:21:05","59.9604","59.9604","17","20","0.628","31.25","31","17","0.48852","0.48852","0.48852","0.48852","0","0","0","2044.55","21","0","36","1088","21","1","17","0","30.203","192","0","0","0.003","0.017","1.366","0","0","0","0","0","9.73","0","0","0.495","0.008","51","51","0","0","17","0","0","1","1","5","2","0","0","0","0","0","36972","0","0","0","62.5","0","16","172","3879","0","91","76","60","True","True","True","0.003","0.174","0","0","1920","1080","0","0","1920","1080","17","11","11","5","True","1251","600","16","29","439026","14874","400","165055","7.9439","0.0794","7.8645","normal","True","False","False"
