"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","candidate_backoff_enabled","candidate_backoff_active_count","candidate_backoff_skipped_count","candidate_backoff_failure_count","candidate_backoff_success_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:59:30","60.2396","60.2396","19","21.946","0.457","15.873","15","19","0.512033","0.512033","0.512033","0.512033","0","0","0","1947.02","23","0","28","1098","21","1","17","0","47.168","341","31","0","0.002","0.019","3.36","0","6.668","0","0","0","11.712","4.794","1.574","0.306","0.011","53","53","0","0","15","2","24","1","4","2","0","0","36972","0","0","6","62.5","15","0","172","3102","0","72","59","49","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","567","23","43","355234","13528","391","161966","3.6631","0.0877","3.5754","normal","True","False","False"
"2026/6/25 19:59:32","59.9129","59.9129","17","25.773","0.512","21.276","31","17","0.504032","0.504032","0.504032","0.504032","0","0","0","1984.5","21","0","29","1107","21","1","17","0","47.754","354","35","0","0.002","0.014","2.067","0.001","6.538","0","0","0","8.056","4.185","1.996","0.438","0.01","53","53","0","0","15","2","24","1","4","0","0","0","36972","0","0","6","62.5","0","16","172","3223","0","72","59","49","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","17","11","11","5","True","578","566","24","43","369076","14006","391","161966","8.0147","0.0826","7.9321","normal","True","False","False"
"2026/6/25 19:59:34","59.9318","59.9318","17","25.597","0.504","66.666","16","17","0.512033","0.512033","0.512033","0.512033","0","0","0","1949.23","21","0","30","1112","21","1","17","0","22.359","152","3","0","0.001","0.02","1.436","0","0","0","0","0","5.543","0","0","0.506","0.012","51","51","0","0","17","0","0","1","4","0","0","0","36972","0","0","0","62.5","0","0","172","3343","0","72","59","49","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","11","11","5","True","578","566","24","43","382933","14474","390","161966","3.6865","0.0925","3.594","normal","True","False","False"
"2026/6/25 19:59:36","59.9546","59.9546","17","24.155","0.508","32.258","16","17","0.457038","0.457038","0.457038","0.457038","0","0","0","2182.78","21","0","31","1092","21","1","17","0","39.687","287","29","0","0.001","0.015","1.788","0.852","6.114","0","0","0","7.648","3.77","0.941","0.62","0.014","53","53","0","0","15","2","24","1","4","0","0","0","33108","2","0","6","62.5","0","16","172","3464","0","82","67","56","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","9","9","5","True","578","567","23","43","395207","14833","392","161966","3.1113","0.089","3.0223","normal","True","False","False"
"2026/6/25 19:59:38","61.4282","61.4282","17","25.094","0.457","32.258","32","17","0.512033","0.512033","0.512033","0.512033","0","0","0","1947.73","21","0","32","1106","21","1","17","0","24.684","213","44","0","0.016","0.02","1.279","0","0","0","0","0","5.446","0","0","0.277","0.009","45","45","0","0","15","0","0","1","6","2","0","0","33108","0","0","0","62.5","0","0","172","3584","0","82","67","56","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","9","9","5","True","578","566","24","43","409208","15381","391","161966","3.6969","0.0826","3.6143","normal","True","False","False"
"2026/6/25 19:59:40","59.9279","59.9279","19","25.094","0.512","3.048","31","19","0.571429","0.571429","0.571429","0.571429","0","0","0","1740.57","23","0","33","1127","21","1","17","0","321.355","758","77","0","0.002","0.017","5.752","0","4.005","0","0","0","178.953","67.537","13.192","28.805","0.013","53","53","0","0","15","2","24","1","6","2","0","0","36972","0","0","33","66.666","16","0","172","3705","0","92","75","62","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","566","24","43","421681","15851","393","161966","3.7179","0.0831","3.6348","normal","True","False","False"
"2026/6/25 19:59:42","58.4205","58.4205","19","22.33","0.577","21.276","15","19","0.460405","0.460405","0.460405","0.460405","0","0","0","2159.64","23","0","34","1113","21","1","17","0","42.606","295","11","0","0.002","0.019","2.369","0","3.146","0","0","0","10.347","3.639","0.795","3.358","0.012","52","52","0","0","16","1","12","1","4","2","0","0","36972","0","0","3","62.5","15","16","172","3826","0","92","75","62","True","True","True","0.003","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","567","23","43","435506","16381","393","161966","7.9784","0.0966","7.8818","normal","True","False","False"
"2026/6/25 19:59:44","59.7631","59.7631","19","22.321","0.46","31.25","15","19","0.524659","0.524659","0.524659","0.524659","0","0","0","1913.5","23","0","35","1095","21","1","17","0","35.223","236","2","0","0.004","0.027","1.818","0","2.872","0","0","0","8.041","2.395","0.978","0.319","0.011","52","52","0","0","16","1","12","1","4","2","0","0","36972","0","0","3","62.5","15","15","172","3947","0","92","75","62","True","True","True","0.003","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","566","24","43","448790","16865","394","161966","3.6842","0.0854","3.5988","normal","True","False","False"
"2026/6/25 19:59:46","59.2965","59.2965","19","24","0.52","21.276","63","19","0.566251","0.566251","0.566251","0.566251","0","0","0","1762.61","23","0","36","1093","21","1","17","0","37.389","260","5","0","0.001","0.022","1.858","0","0","0","0","0","10.952","0","0","0.456","0.021","68","68","0","0","17","0","0","1","4","2","0","0","36972","0","0","0","62.5","0","0","172","4067","0","92","75","62","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","566","24","43","462677","17371","393","161966","3.6642","0.0791","3.5851","normal","True","False","False"
"2026/6/25 19:59:48","59.8099","59.8099","19","24","0.567","12.82","78","19","0.598086","0.598086","0.598086","0.598086","0","0","0","1660.21","23","0","37","1116","21","1","17","0","80.631","557","0","0","0.002","0.017","2.43","0","0","0","0","0","16.402","14.764","5.512","0.545","0.009","51","51","0","0","17","0","0","1","4","2","0","0","36972","0","0","6","62.5","0","15","172","4187","0","92","75","62","True","True","True","0.003","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","567","23","43","476953","18078","393","161966","3.6887","0.0859","3.6028","normal","True","False","False"
"2026/6/25 19:59:50","58.6359","58.6359","19","16.916","0.604","21.276","15","19","0.660066","0.660066","0.660066","0.660066","0","0","0","1505.75","23","0","38","1087","21","1","17","0","53.225","370","0","0","0.001","0.017","1.46","0","0","0","0","0","15.523","0","0.001","0.572","0.009","68","68","0","0","17","0","0","1","4","2","0","0","36972","0","0","0","62.5","15","0","172","4308","0","92","75","62","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","566","24","43","491212","18546","392","161966","7.6453","0.0746","7.5707","normal","True","False","False"
"2026/6/25 19:59:52","59.8956","59.8956","17","16.916","0.66","32.258","15","17","0.529101","0.529101","0.529101","0.529101","0","0","0","1890.12","21","0","40","1100","21","1","17","0","36.293","244","0","0","0.004","0.022","2.471","0","0","0","0","0","9.893","0","0","0.736","0.009","68","68","0","0","17","0","0","1","4","2","0","0","36972","0","0","0","66.666","0","0","172","4429","0","102","83","68","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","10","10","6","True","578","566","24","43","503592","19009","394","161966","7.6962","0.0794","7.6168","normal","True","False","False"
"2026/6/25 19:59:54","59.801","59.801","17","17.07","0.525","21.739","16","17","0.561167","0.561167","0.561167","0.561167","0","0","0","1768.25","21","0","41","1086","21","1","17","0","36.163","247","6","0","0.002","0.021","1.305","0","0","0","0","0","8.231","0","0","0.168","0.01","68","68","0","0","17","0","0","1","4","0","0","0","36972","0","0","0","62.5","0","0","172","4549","0","102","83","68","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","17","10","10","6","True","578","567","23","43","517648","19638","394","161966","3.7556","0.0659","3.6897","normal","True","False","False"
"2026/6/25 19:59:56","59.9034","59.9034","17","22.719","0.566","32.258","16","17","0.547046","0.547046","0.547046","0.547046","0","0","0","1821.32","21","0","42","1110","21","1","17","0","22.944","169","9","0","0.002","0.014","1.596","0.73","0","0","0","0","7.638","0","0","0.707","0.007","66","66","0","0","17","0","0","1","4","0","0","0","33108","2","0","0","62.5","0","16","172","4670","0","102","83","68","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","17","8","8","6","True","578","566","24","43","531642","20122","393","161966","3.6404","0.0647","3.5757","normal","True","False","False"
"2026/6/25 19:59:58","59.9801","59.9801","17","20.318","0.547","32.258","0","17","0.477555","0.477555","0.477555","0.477555","0","0","0","2090.72","21","0","43","1097","21","1","17","0","23.878","164","1","0","0.001","0.017","1.844","0.66","0","0","0","0","5.637","0","0","1.024","0.011","66","66","0","0","17","0","0","1","4","0","0","0","33108","2","0","0","62.5","15","15","172","4791","0","112","91","75","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","8","8","6","True","578","566","24","43","543955","20579","394","161966","8.0742","0.0743","7.9999","normal","True","False","False"
"2026/6/25 20:00:00","59.9214","59.9214","17","20.318","0.478","32.258","0","17","0.537924","0.537924","0.537924","0.537924","0","0","0","1862.47","21","0","44","1113","21","1","17","0","24.715","162","5","0","0.002","0.021","1.149","0","0","0","0","0","6.916","0","0","0.342","0.012","60","60","0","0","15","0","0","1","5","2","0","0","33108","0","0","0","66.666","0","0","172","4911","0","112","91","75","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","8","8","6","True","578","567","23","43","557797","21098","394","161966","4.031","0.0867","3.9443","normal","True","False","False"
