"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_overwritten_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","scan_detail_records","scan_detail_total_pairs","scan_light_scan_enabled","scan_light_unvalidated_pairs","scan_light_cap_hits","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:47:35","58.5207","58.5207","20","19.011","0.577","21.276","15","20","0.547046","0.547046","0.547046","0.547046","0","0","0","1814.3","23","0","27","1101","21","1","17","0","38.841","274","1","0","0.002","0.02","1.566","0","0.14","0","0","0","13.233","0","0","0.307","0.012","68","68","0","0","17","2","39","36972","0","0","0","66.666","0","0","172","2997","0","69","55","48","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","20","12","12","5","True","578","566","24","43","345251","14112","400","160946","5.3653","0.0944","5.2709","normal","True","False","False"
"2026/6/25 19:47:37","59.4256","59.4256","20","19.011","0.547","32.258","47","20","0.477555","0.477555","0.477555","0.477555","0","0","0","2099.75","23","0","28","1105","21","1","17","0","28.352","186","2","0","0.002","0.026","1.316","0.001","0.002","0","0","0","7.531","0","0","0.299","0.013","68","68","0","0","17","2","40","36972","0","0","0","62.5","0","0","172","3117","0","69","55","48","True","True","True","0.007","0.025","0","0","1920","1080","0","0","1920","1080","20","12","12","5","True","578","567","23","43","359014","14638","399","160946","4.2492","0.1108","4.1384","normal","True","False","False"
"2026/6/25 19:47:39","61.0259","61.0259","20","18.639","0.474","12.82","0","20","0.504032","0.504032","0.504032","0.504032","0","0","0","1970.72","23","0","29","1113","21","1","17","0","78.111","546","5","0","0.002","0.023","2.324","0","0.839","0","0","0","11.765","0","0","28.068","0.014","52","52","0","0","17","2","37","36972","0","0","6","62.5","0","0","172","3238","0","69","55","48","True","True","True","0.003","0.025","0","0","1920","1080","0","0","1920","1080","20","12","12","5","True","578","567","24","43","372669","15153","398","160946","9.5268","0.088","9.4388","normal","True","False","False"
"2026/6/25 19:47:41","60.2657","60.2657","19","20.209","0.508","12.82","15","19","0.542299","0.542299","0.542299","0.542299","0","0","0","1840.14","23","0","30","1090","21","1","17","0","79.217","550","1","0","0.002","0.021","1.268","0","0.147","0","0","0","10.406","0","0","30.663","0.012","51","51","0","0","17","2","39","36972","0","0","6","62.5","15","0","172","3359","0","69","55","48","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","566","24","43","386560","15683","398","160946","10.347","0.0824","10.2646","normal","True","False","False"
"2026/6/25 19:47:43","61.2082","61.2082","17","20.986","0.542","32.258","31","17","0.556483","0.556483","0.556483","0.556483","0","0","0","1784.65","21","0","31","1099","21","1","17","0","31.558","209","0","0","0.002","0.023","1.779","0","0","0","0","0","11.318","0","0","0.51","0.011","68","68","0","0","17","0","0","36972","0","0","0","66.666","0","15","172","3479","0","79","63","55","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","11","11","5","True","578","567","23","43","399206","16153","399","161473","9.548","0.0874","9.4606","normal","True","False","False"
"2026/6/25 19:47:45","61.293","61.293","17","20.986","0.556","16.129","47","17","0.492368","0.492368","0.492368","0.492368","0","0","0","2038.58","21","0","32","1109","21","1","17","0","46.85","324","0","0","0.002","0.022","1.351","0","0","0","0","0","9.782","0","0","0.453","0.011","68","68","0","0","17","0","0","36972","0","0","0","62.5","0","16","172","3600","0","79","63","55","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","11","11","5","True","578","567","24","43","413017","16611","399","161473","5.4152","0.0896","5.3256","normal","True","False","False"
"2026/6/25 19:47:47","58.6096","58.6096","17","22.067","0.489","12.82","16","17","0.547046","0.547046","0.547046","0.547046","0","0","0","1816.49","21","0","33","1098","21","1","17","0","73.146","491","0","0","0.003","0.024","3.41","2.684","0","0","0","0","11.27","0","0","32.644","0.011","68","68","0","0","17","0","0","33108","2","0","6","62.5","0","0","172","3721","0","90","72","62","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","9","9","5","True","578","566","24","43","425487","17080","400","162014","9.8386","0.0932","9.7454","normal","True","False","False"
"2026/6/25 19:47:49","59.6498","59.6498","17","18.553","0.489","12.82","63","17","0.571429","0.571429","0.571429","0.571429","0","0","0","1759.02","21","0","35","1118","21","1","17","0","70.312","275","30","0","0.001","0.015","11.526","8.247","0","0","0","0","6.038","0","0","0.673","0.014","51","51","0","0","17","0","0","33108","2","0","0","62.5","0","0","172","3843","0","90","72","62","True","True","True","0.002","0.025","0","0","1920","1080","0","0","1920","1080","17","9","9","5","True","578","567","23","43","439319","17697","400","162014","10.5324","0.096","10.4364","normal","True","False","False"
"2026/6/25 19:47:51","59.7932","59.7932","18","18.553","0.566","16.129","31","18","0.507872","0.507872","0.507872","0.507872","0","0","0","1954.07","22","0","36","1122","20","1","16","0","63.715","436","18","0","0.003","0.018","5.16","0","2.602","0","0","0","9.436","0","0","25.518","0.012","51","51","0","0","16","2","37","35040","0","0","6","62.5","15","0","172","3963","0","90","72","62","True","True","True","0.001","0.025","0","0","1920","1080","0","0","1920","1080","18","10","10","5","True","578","567","24","43","453054","18249","400","162014","11.0693","0.1009","10.9684","normal","True","False","False"
"2026/6/25 19:47:53","59.0236","59.0236","19","19.795","0.512","15.873","31","19","0.576701","0.576701","0.576701","0.576701","0","0","0","1724.01","23","0","37","1089","21","1","17","0","74.73","497","6","0","0.001","0.019","3.475","0.001","5.086","0","0","0","6.698","0","0","28.819","0.011","70","70","0","0","17","2","37","36972","0","0","6","66.666","16","0","172","4083","0","90","72","62","True","True","True","0.004","0.025","0","0","1920","1080","0","0","1920","1080","19","11","11","5","True","578","566","24","43","466943","18796","399","162014","6.1988","0.0898","6.109","normal","True","False","False"
