"captured_at","fps","render_fps","entity_count","entity_process_hz","entity_scan_hz","entity_publish_hz","entity_publish_age_ms","entity_publish_count","scan_loop_hz","scan_due_hz","scan_started_hz","scan_completed_hz","scan_skip_pending_count","scan_skip_not_due_count","scan_get_ow_entities_ms","scan_result_raw_count","scan_pending_age_ms","scan_generation","entity_cycle_ms","entity_cycle_dma_reads_delta","entity_cycle_dma_fail_delta","phase_consume_scan_ms","phase_previous_snapshot_copy_ms","phase_hot_scatter_prepare_ms","phase_hot_scatter_execute_ms","phase_base_cache_ms","phase_base_decrypt_ms","phase_health_ms","phase_hero_ms","phase_visibility_ms","phase_skeleton_ms","phase_skill_ms","phase_team_name_ms","phase_local_select_ms","phase_publish_ms","hot_scatter_requested_count","hot_scatter_success_count","hot_scatter_partial_count","hot_scatter_fallback_read_count","base_cache_hit_count","base_cache_miss_count","base_decrypt_attempt_count","skeleton_block_read_bytes","skeleton_fallback_get_bone_pos_count","visibility_fallback_count","skill_read_count","viewmatrix_publish_hz","viewmatrix_publish_age_ms","render_viewmatrix_age_ms","render_viewmatrix_max_age_ms","render_viewmatrix_uses","render_viewmatrix_missing_publish_uses","render_viewmatrix_over_16ms","render_viewmatrix_over_33ms","render_viewmatrix_over_50ms","view_matrix_ok","view_matrix_resolved","view_matrix_valid","snapshot_entities_copy_ms","snapshot_entities_copy_max_ms","snapshot_dynamic_copy_ms","snapshot_dynamic_copy_max_ms","manual_width","manual_height","detected_width","detected_height","resolved_wx","resolved_wy","player_info_input","player_info_projected","player_info_drawn","skipped_world_to_screen","sample_projected_available","sample_projected_left","sample_projected_top","sample_projected_width","sample_projected_height","dma_total","dma_failed","dma_avg_latency_us","dma_max_latency_us","render_frame_ms","render_callback_ms","present_ms","render_mode","player_info_called","skill_info_called","entity_list_empty"
"2026/6/25 19:10:38","59.6895","59.6895","18","6.203","0.328","4","172","18","4.52174","4.52174","0.347826","0.347826","88","0","2799.95","26","0","12","238.913","1770","0","0","0.002","0.014","27.149","0","30.424","0","0","0","30.337","56.126","18.252","3.022","0.008","78","78","0","0","12","10","120","36972","0","0","30","66.666","16","0","156","2122","0","36","30","26","True","True","True","0.001","0.037","0.001","0.001","1920","1080","0","0","1920","1080","18","6","6","11","True","1140","517","19","35","271464","5358","403","159942","5.2017","0.0666","5.1351","normal","True","False","False"
"2026/6/25 19:10:40","59.9293","59.9293","17","6.203","0.328","7.092","125","17","4.52174","4.52174","0.347826","0.347826","88","0","2799.95","26","0","12","134.787","965","0","0","0.002","0.013","8.094","0","26.755","0","0","0","8.158","28.939","11.714","0.128","0.008","78","78","0","0","12","10","120","33108","2","0","30","62.5","0","0","156","2243","0","36","30","26","True","True","True","0.001","0.037","0.001","0.001","1920","1080","0","0","1920","1080","17","6","6","8","True","1048","507","21","39","286174","5613","403","159942","4.3447","0.0675","4.2772","normal","True","False","False"
"2026/6/25 19:10:42","59.5977","59.5977","17","6.203","0.356","8","47","17","0.62422","0.62422","0.31211","0.31211","100","0","3195.28","26","63","13","126.268","1102","205","0","0.002","0.014","5.623","0","17.253","0","0","0","11.309","23.311","3.774","26.546","0.007","67","67","0","0","12","10","136","33108","0","0","24","62.5","16","0","156","2363","0","45","37","32","True","True","True","0.001","0.037","0.001","0.001","1920","1080","0","0","1920","1080","17","6","6","8","True","993","485","26","48","299501","6033","406","159942","5.4318","0.0703","5.3615","normal","True","False","False"
"2026/6/25 19:10:44","59.9481","59.9481","17","4.948","0.356","6.41","94","17","0.62422","0.62422","0.31211","0.31211","100","0","3195.28","26","63","13","158.597","1155","1","0","0.003","0.016","9.362","0","14.768","0","0","0","20.538","27.393","4.349","38.361","0.009","68","68","0","0","12","10","132","33108","0","0","24","62.5","0","0","156","2484","0","45","37","32","True","True","True","0.001","0.037","0.001","0.001","1920","1080","0","0","1920","1080","17","6","6","8","True","1055","457","32","58","313947","6059","406","159942","9.0758","0.0644","9.0114","normal","True","False","False"
"2026/6/25 19:10:46","59.7701","59.7701","19","4.948","0.306","4.926","78","19","4.14013","4.14013","0.318471","0.318471","113","0","3058.03","30","62","14","204.549","1381","0","0","0.002","0.016","17.072","0","41.573","0","0.002","0","21.371","43.787","14.112","0.283","0.009","81","81","0","0","12","14","180","36972","0","0","30","66.666","0","15","156","2604","0","45","37","32","True","True","True","0.002","0.037","0.001","0.001","1920","1080","0","0","1920","1080","19","6","6","10","True","1261","419","40","73","328363","6487","405","159942","9.6331","0.072","9.5611","normal","True","False","False"
"2026/6/25 19:10:48","59.9484","59.9484","19","4.948","0.318","6.41","16","19","4.52489","4.52489","0.323206","0.323206","120","0","3004.35","30","31","15","161.113","1154","4","0","0.001","0.014","12.761","0","28.567","0","0","0","13.473","35.046","11.175","1.656","0.008","78","78","0","0","12","14","184","36972","0","0","30","66.666","16","16","156","2725","0","45","37","32","True","True","True","0.001","0.037","0.001","0.001","1920","1080","0","0","1920","1080","19","6","6","10","True","1637","352","55","98","342882","6709","405","159942","5.7377","0.0705","5.6672","normal","True","False","False"
"2026/6/25 19:10:50","60.2701","60.2701","19","4.948","0.318","6.41","156","19","4.52489","4.52489","0.323206","0.323206","120","0","3004.35","30","31","15","156.541","1100","4","0","0.002","0.015","15.688","0","31.515","0","0","0","15.864","36.092","9.328","0.164","0.009","79","79","0","0","12","14","184","36972","0","0","30","66.666","0","0","156","2846","0","54","44","38","True","True","True","0.002","0.037","0.001","0.001","1920","1080","0","0","1920","1080","19","5","5","11","True","1384","513","15","27","355751","6930","408","161226","5.7593","0.0667","5.6926","normal","True","False","False"
"2026/6/25 19:10:52","59.8933","59.8933","19","4.948","0.326","4.926","94","19","2.39234","2.39234","0.299043","0.299043","130","0","3306.36","30","47","16","201.487","1440","2","0","0.002","0.015","13.513","0","31.577","0","0.002","0","17.4","34.657","11.747","37.07","0.009","79","79","0","0","12","14","183","36972","0","0","36","62.5","0","0","156","2966","0","54","44","38","True","True","True","0.002","0.037","0.001","0.001","1920","1080","0","0","1920","1080","19","5","5","11","True","1384","513","15","27","370051","7335","408","161226","10.3796","0.071","10.3086","normal","True","False","False"
"2026/6/25 19:10:54","58.6681","58.6681","19","4.948","0.296","4.926","141","19","3.52","3.52","0.32","0.32","132","0","3056.99","28","0","17","201.689","1600","136","0","0.002","0.012","12.321","0","44.402","0","0","0","14.118","27.927","6.674","32.626","0.009","79","79","0","0","12","12","159","36972","0","0","36","62.5","0","0","156","3087","0","54","44","38","True","True","True","0.002","0.037","0.001","0.001","1920","1080","0","0","1920","1080","19","5","5","11","True","1384","513","15","27","384675","7534","408","161226","10.7913","0.0713","10.72","normal","True","False","False"
"2026/6/25 19:10:56","58.673","58.673","17","5","0.296","6.41","16","17","3.52","3.52","0.32","0.32","132","0","3056.99","28","0","17","167.991","1208","2","0","0.002","0.013","15.694","0.002","22.894","0.001","0.001","0","21.03","37.144","9.29","0.491","0.007","78","78","0","0","12","12","160","36972","0","0","30","62.5","16","0","156","3207","0","55","44","38","True","True","True","0.001","0.037","0.001","0.001","1920","1080","0","0","1920","1080","17","5","5","11","True","1384","513","15","27","399254","7757","408","161226","11.0626","0.0656","10.997","normal","True","False","False"
